country,t=0,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=28,t=29,t=30
Moldova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012788194140201092,0.0007992252778888774,0.003235244181717136,0.011096530369284109,0.03327268826914619,0.08766821986147186,0.20260873948648167,0.4070676562277664,0.7009851373415992,1.017006852796017,1.2182055933788178,1.1754024636438978,0.8874301132945632,0.5076253328247279,0.21238300661220805,0.06250022073453915,0.012369180025976898,0.0015650686849457602,0.00011945498163379995,3.0
Mongolia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012016132380652649,0.0005043540576771152,0.00136659917803476,0.00309764755238779,0.005839916964355735,0.009007028632176782,0.011263984730677903,0.011295254720338517,0.008852353493512903,0.005301979119127865,0.002352069382214437,0.0007643466253377714,0.00016197007844324465,2.2530577528356545e-05,1.943244429689596e-06,0.0
Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006379027603172003,0.002394107987462434,0.008037191616198125,0.02352077323307162,0.06025694858144863,0.1361262517752384,0.2697121403040471,0.4620853566666843,0.6731208839607213,0.8191784081510519,0.8185746870400589,0.6583623548021335,0.41532204576791104,0.19936351605728903,0.07041861076374054,0.017544298999789903,0.0029577178515574707,0.0003206028524164115,2.1088875482379757e-05,3.0
Morocco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5058637672763121e-05,0.00010409084166623795,0.0004964964397061944,0.002041490093876079,0.00751445480202114,0.024996876032896166,0.0752189338237679,0.20350162054713178,0.48988702303305265,1.0344842157957634,1.8820149674277624,2.8845335936268093,3.622927269029745,3.606050876438656,2.737646030940037,1.5214245185006054,0.5930675241591935,0.15508241279363752,0.02592247373270291,0.002623521538756908,0.00015140443646218438,3.0
Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4607452660315556e-05,7.912035551769502e-05,0.0002561648197221425,0.0006352851572320742,0.0012163350760981775,0.001810511815049953,0.0020721062297227974,0.0017692689668761504,0.001102326806826199,0.0004901923996119483,0.0001493581873899158,3.001588261308097e-05,3.7607976132531936e-06,0.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015196944885815578,0.0005027807728592243,0.0013154057548422978,0.0028686725996409247,0.00498547267132736,0.007116241577541833,0.008091682985553402,0.007146526409694885,0.004815249269795532,0.002384808736901572,0.0008303068553432217,0.000199697797091036,3.158067544920611e-05,3.102287734429181e-06,0.0
Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5702641179485187e-05,8.000033422112897e-05,0.0003025623334910095,0.0009075465855456758,0.0022865688909878288,0.004834288091298085,0.008544559145682485,0.012430574176129208,0.014595518080445957,0.01352123123562573,0.00962489887342953,0.005106263034115961,0.0019511550976433107,0.000514130708212936,8.916493960099288e-05,9.61662564635316e-06,0.0
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2009680445610334e-05,0.00012142388591755667,0.0004483001668930219,0.0014689173720171186,0.004299718029677248,0.011431903655733478,0.02763595412364802,0.06041900515342413,0.11846897953684508,0.20563752199582824,0.3104054732923563,0.3985891149929226,0.42646770955331614,0.3750478445383036,0.2679010563373968,0.15243096363374592,0.06717227954957074,0.02215123672041418,0.005246505810845719,0.0008507817445284136,9.166277866634125e-05,5.211828436852883e-06,3.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.926003256205979e-05,0.00027414371578889725,0.0008928200208560056,0.0023582113096368854,0.005125762518862171,0.009500729727113997,0.014860755367611457,0.019379054008928885,0.020713224265947523,0.017742529441962814,0.011897792196821418,0.006054002806523598,0.002259319377043647,0.0005951779957894407,0.00011817612367892986,1.2219234790205838e-05,7.805593973467143e-07,0.0
Nicaragua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.562728354302934e-05,0.00011191885811198506,0.00018157315493769023,0.00022401931569052128,0.000187574685848909,0.00012116569242308265,5.8496011067372107e-05,2.0353466966184243e-05,4.892751494243969e-06,7.734531684687366e-07,7.595939201585588e-08,0.0
